time,data,irf,fit
0,0,0,0
0.104407306889353,0,0,0
0.208814613778706,3,0,0
0.313221920668058,1,0,0
0.417629227557411,2,0,0
0.522036534446764,5,0,0
0.626443841336117,2,0,0
0.73085114822547,5,0,0
0.835258455114823,5,0,0
0.939665762004175,5,0,0
1.04407306889353,5,0,0
1.14848037578288,3,0,0
1.25288768267223,3,0,0
1.35729498956159,3,0,0
1.46170229645094,5,0,0
1.56610960334029,4,0,0
1.67051691022965,4,0,0
1.774924217119,0,0,0
1.87933152400835,2,0,0
1.9837388308977,7,0,0
2.08814613778706,4,0,0
2.19255344467641,10,0,0
2.29696075156576,13,0,0
2.40136805845511,8,0,0
2.50577536534447,5,0,0
2.61018267223382,9,0,0
2.71458997912317,2,0,0
2.81899728601253,6,0,0
2.92340459290188,4,0,0
3.02781189979123,6,0,0.330403393825438
3.13221920668058,9,0,0.316678380947509
3.23662651356994,10,1,0.303588965060967
3.34103382045929,6,0,0.291104735719932
3.44544112734864,3,0,0.279196748703383
3.549848434238,12,0,0.598240849053927
3.65425574112735,7,0,0.573679015529057
3.7586630480167,3,1,0.550250295062509
3.86307035490605,7,0,0.527900523379233
3.96747766179541,8,0,0.506578147286206
4.07188496868476,6,0,0.486234098615003
4.17629227557411,7,0,0.466821674250555
4.28069958246347,11,0,0.448296421952253
4.38510688935282,12,0,0.430616031687792
4.48951419624217,9,0,0.744143626039041
4.59392150313152,9,0,1.04471246742154
4.69832881002088,15,1,1.00251827480862
4.80273611691023,5,1,0.962259914793809
4.90714342379958,8,0,1.25424837257088
5.01155073068893,15,0,1.20386389258295
5.11595803757829,7,1,1.1557867620934
5.22036534446764,7,0,1.1099068881957
5.32477265135699,10,0,1.06611948343264
5.42917995824635,9,0,1.02432480966624
5.5335872651357,6,0,0.984427934314031
5.63799457202505,10,0,6.23279279956185
5.7424018789144,12,0,5.97682459069597
5.84680918580376,38,16,5.73266550321547
5.95121649269311,8,0,5.49975104901847
6.05562379958246,10,0,5.27754395191942
6.16003110647182,5,0,5.06553283392164
6.26443841336117,5,0,4.86323096491769
6.36884572025052,15,0,4.6701750727557
6.47325302713987,9,0,4.4859242107574
6.57766033402923,9,0,4.31005867991416
6.68206764091858,17,0,4.14217900312167
6.78647494780793,11,0,3.98190494894069
6.89088225469729,16,0,3.82887460249318
6.99528956158664,11,0,3.68274348121809
7.09969686847599,5,0,3.5431836933212
7.20410417536534,19,0,3.40988313685785
7.3085114822547,11,0,3.28254473748683
7.41291878914405,6,0,3.16088572302852
7.5173260960334,9,0,3.04463693305052
7.62173340292276,14,0,2.93354216178957
7.72614070981211,10,0,2.82735753280034
7.83054801670146,10,0,2.72585090379954
7.93495532359081,19,0,2.95920469407272
8.03936263048017,11,0,2.85267675722601
8.14376993736952,14,1,2.75083086672481
8.24817724425887,19,0,2.65344600926336
8.35258455114823,28,0,2.56031180044072
8.45699185803758,59,0,2.47122797172313
8.56139916492693,159,0,2.38600388217912
8.66580647181628,387,0,2.96526484144218
8.77021377870564,874,0,5.50300164170512
8.87462108559499,1781,2,53.5312189270575
8.97902839248434,3042,8,554.530537266718
9.08343569937369,4507,146,2537.40312269656
9.18784300626305,6400,1523,5872.62766327592
9.2922503131524,7796,6071,8652.83729455333
9.39665762004175,8860,10413,9525.60820470785
9.50106492693111,9045,9151,9356.73352166022
9.60547223382046,9079,3724,8996.798678512
9.70987954070981,8896,676,8633.08003388821
9.81428684759916,8487,71,8283.47065903911
9.91869415448852,8014,9,7949.92307575559
10.0231014613779,7943,1,7631.33987827785
10.1275087682672,7505,1,7327.33516085337
10.2319160751566,7260,0,7037.21343719905
