time,data,irf,fit,baseline
0,0,0,1,1
0.104407306889353,0,0,1,1
0.208814613778706,5,0,1,1
0.313221920668058,11,0,1,1
0.417629227557411,6,0,1,1
0.522036534446764,8,0,1,1
0.626443841336117,13,0,1,1
0.73085114822547,7,0,1,1
0.835258455114823,19,0,1,1
0.939665762004175,16,0,1,1
1.04407306889353,12,0,1,1
1.14848037578288,9,0,1,1
1.25288768267223,10,0,1,1
1.35729498956159,14,0,1,1
1.46170229645094,14,0,1,1
1.56610960334029,10,0,1,1
1.67051691022965,23,0,1,1
1.774924217119,21,0,1,1
1.87933152400835,9,0,1,1
1.9837388308977,11,0,1,1
2.08814613778706,18,0,1,1
2.19255344467641,17,0,1,1
2.29696075156576,13,0,1,1
2.40136805845511,17,0,1,1
2.50577536534447,15,0,1,1
2.61018267223382,15,0,1,1
2.71458997912317,11,0,1,1
2.81899728601253,19,0,1,1
2.92340459290188,20,0,1,1
3.02781189979123,13,0,1,1
3.13221920668058,17,0,1.3902063863274,1
3.23662651356994,14,0,1.385007511647,1
3.34103382045929,9,0,1.77014645565281,1
3.44544112734864,13,0,1.76000695121176,1
3.549848434238,21,0,1.75012124985232,1
3.65425574112735,16,0,3.69151239254006,1
3.7586630480167,14,0,3.65611359413275,1
3.86307035490605,17,0,3.62160010175351,1
3.96747766179541,24,0,3.58794091254146,1
4.07188496868476,64,0,3.55510621686428,1
4.17629227557411,107,0,3.52306735142408,1
4.28069958246347,231,0,4.27220952686912,1
4.38510688935282,430,0,27.6436661241929,1
4.48951419624217,704,0,174.399593847936,1
4.59392150313152,990,0,690.680856933284,1
4.69832881002088,1428,0,1341.3655991063,1
4.80273611691023,1621,0,1846.52730849888,1
4.90714342379958,1889,0,2050.9517679973,1
5.01155073068893,2020,0,2073.44012538251,1
5.11595803757829,2043,0,2055.3531653365,1
5.22036534446764,2158,0,2030.39259186546,1
5.32477265135699,2094,1,2004.88060063915,1
5.42917995824635,2051,0,1979.98179872817,1
5.5335872651357,1957,1,1955.6750140602,1
5.63799457202505,1896,0,1931.93988670975,1
5.7424018789144,1979,0,1908.75683700336,1
5.84680918580376,1842,5,1886.10703488354,1
5.95121649269311,1937,0,1863.97237048177,1
6.05562379958246,1806,0,1842.33542585283,1
6.16003110647182,1816,0,1821.17944782449,1
6.26443841336117,1749,0,1800.48832191861,1
6.36884572025052,1720,0,1780.24654730123,1
6.47325302713987,1741,2,1760.43921272102,1
6.57766033402923,1713,60,1741.05197339707,1
6.68206764091858,1755,377,1722.07102881855,1
6.78647494780793,1723,1329,1703.48310142006,1
6.89088225469729,1683,1691,1685.27541609829,1
6.99528956158664,1708,1340,1667.43568053662,1
7.09969686847599,1662,586,1649.95206630571,1
7.20410417536534,1592,126,1632.81319070963,1
7.3085114822547,1645,22,1616.0080993478,1
7.41291878914405,1590,3,1599.52624936468,1
7.5173260960334,1638,0,1583.35749335997,1
7.62173340292276,1606,0,1567.49206393319,1
7.72614070981211,1592,0,1552.31076522398,1
7.83054801670146,1426,0,1537.01893423137,1
7.93495532359081,1496,0,1522.00339348955,1
8.03936263048017,1516,0,1507.25574825541,1
8.14376993736952,1388,0,1492.76791535969,1
8.24817724425887,1545,0,1478.53211105816,1
